Summary,Keywords,Meaningful keywords,IoCs
"Hive ransomware hits Damart clothing store with $2 million ransom

Damart, a French clothing company with over 130 stores across the world, is being extorted for $2 million after a cyberattack from the Hive ransomware gang. [...]

via BleepingComputer (author: Bill Toulas).","[['damart', 'ransomware', 'hive', 'clothing', 'store', 'ransom', '@damart_uk', 'order', 'cybersecurity', 'amp']]","[""['damart', 'indicator']""]",none
"Ransomware attack severs 1,000 ships from their on-shore servers 
#cybersecurity #infosec #hacker #security #cyber #tech #cybercrime #CyberSecurity #CyberSecurityTips #News 

https://t.co/zv3chmQxoW","[['shore', 'ransomware', 'ships', 'servers', 'attack', 'cybersecurity', 'shipmanager', 'security', 'infosec', '@theregister']]","[""['nginx', 'indicator']""]",none
"RT TheHackersNews ""Open source repositories under attack: hackers flood NuGet, NPM, and PyPi with over 144,000 malicious packages

Details: https://t.co/X7mY27zmwW

#cybersecurity #hacking #malware #programming #developer #codinglife"" Stay up-to-date: https://t.co/m6tBp3UgeL","[['packages', 'nuget', 'npm', 'pypi', 'source', 'repositories', 'phishing', 'hackers', 'cybersecurity', 'open']]",none,none
"A #ransomware attack during Super Bowl week on San Francisco 49ers systems that breached nearly 21,000 individual ticket-holder and other files has resulted in a class action lawsuit filed against the organization &gt; https://t.co/dOjEGG4MW1

#cybersecurity #databreach #dataprivacy","[['ticket', 'holder', 'bowl', '49ers', 'attack', 'suite', 'cybersecurity', 'pm', 'game', 'feb.']]","[""['49ers', 'organization'], ['cole', 'product']""]",none
"Data Breach at Louisiana Healthcare Provider Impacts 270,000 Patients: Southwest Louisiana healthcare provider Lake Charles Memorial Health System (LCMHS) is informing roughly 270,000 patients that their personal and… https://t.co/kmkAHdAZS0 #security #cybersecurity #technology","[['lcmhs', 'louisiana', 'patients', 'hospital', 'attack', 'ransomware', 'health', 'cybersecurity', 'charles', 'lake']]",none,"['CVE-2022-27518', 'CVE-2022-27510']"
"CircleCI's hack caused by malware stealing engineer's 2FA-backed session https://t.co/GqzfYDl6vW 

#Cybersecurity #cybercrime #cyberattacks #hacker #hack #breach #phishing #dos #ransomware #malware https://t.co/F5w4cZK78y","[['malware', 'session', 'hack', 'engineer', 'circleci', 'cybersecurity', 'infosec', 'hacker', 'ransomware', 'story']]",none,none
"BleepinComputer: 35,000 code repos not hacked—but clones flood GitHub to serve malware - @Ax_Sharma
https://t.co/MfC8hqatN6 https://t.co/ZDm9njR53q #cybersecurity #hacking #computersecurity #nyc #newyork","[['github', 'code', 'repos', 'malware', 'flood', 'accounts', 'cybersecurity', 'access', 'https://t.co/mvb9siflog', 'media']]",none,none
"San Francisco 49ers: Blackbyte ransomware gang stole info of 20K people - NFL's San Francisco 49ers are mailing notification letters confirming a data breach affecting more than 20,000 individuals following a ransomware attack that hit its network earlie… https://t.co/F4jNitnDSx","[['nfl', '49ers', 'san', 'francisco', 'attack', 'data', 'breach', 'ransomware', 'letters', 'notification']]",none,none
"Hackers weaponize #Microsoft Visual Studio add-ins to push #malware 

https://t.co/Yxw2Utt9Dc

#RCE #ZeroTrust #ZeroDay #cybercrime #hacker #privacy #APT #bot #CISO #DDoS #hacking #phishing #CyberAttack #cybersecurity #Security #infosec #AppSec #cyber #databreach #Hacked #plugin","[['microsoft', 'visual', 'studio', 'hackers', 'ins', 'malware', 'cybersecurity', 'infosec', 'security', 'office']]",none,none
"Cisco Talos highlights a new vector for malicious code to Microsoft Excel—malicious add-ins, specifically XLL files. Although XLL files were supported since early Excel versions of Excel, malicious actors started using them relatively recently. https://t.co/yVqEE0uhvb","[['xll', 'ins', 'excel', 'microsoft', 'add', 'malware', 'internet', 'delivery', 'cybersecurity', 'security']]","[""['xll', 'org'], ['microsoft', 'organization'], ['excel', 'system'], ['cisco', 'organization']""]",none
"#crypto #bitcoin #altcoin #NFTs #btc #eth #xrp
Google Ads-delivered malware drains NFT influencer’s entire crypto wallet
Source : Cointelegraph
Blog : https://t.co/PCnHEZ3Rft
Link : https://t.co/l9vQoxX0IT
For latest crypto news press Follow!","[['nft', 'crypto', 'influencer', 'malware', 'drains', 'google', 'ads', 'wallet', 'nfts', 'cryptonews']]","[""['google', 'organization'], ['cointelegraph', 'organization']""]",none
"The ALPHV ransomware gang, aka BlackCat, has claimed responsibility for an attack against Creos Luxembourg S.A. last week, a natural gas pipeline and electricity network operator in the central European country.

https://t.co/snteishclz

#cybersecurity #ransomware #cyberattack","[['blackcat', 'creos', 'ransomware', 'luxembourg', 'gang', 'alphv', 's.a.', 'data', 'cyberattack', 'pipeline']]",none,none
"Maui and DTrack malware in the service of Andariel | Kaspersky official blog

Our experts investigated the activity of Andariel, believed to be a subgroup of the Lazarus APT group. Cybercriminals use DTrack malware and Maui ransomware to attack businesse… https://t.co/7sLp6Dqpda","[['maui', 'andariel', 'dtrack', 'ransomware', 'attacks', 'cybersecurity', 'malware', 'kaspersky', 'apt', 'lazarus']]","[""['kaspersky', 'malware']""]","['CVE-2017-10271', '8.8.8.8', '145.232.235.222', 'a557a0c67b5baa7cf64bd4d42103d3b2852f67acf96b4c5f14992c1289b55eaa', '6122c94cbfa11311bea7129ecd5aea6fae6c51d23228f7378b5f6b2398728f67', '92adc5ea29491d9245876ba0b2957393633c9998eb47b3ae1344c13a44cd59ae', '60425a4d5ee04c8ae09bfe28ca33bf9e76a43f69548b2704956d0875a0f25145', '1c4aa2cbe83546892c98508cad9da592089ef777', '94db86c214f4ab401e84ad26bb0c9c246059daff', 'feb79a5a2bdf0bcf0777ee51782dc50d2901bb91', '102a6954a16e80de814bee7ae2b893f1fa196613', '87e3fc08c01841999a8ad8fe25f12fe4', '95247511a611ba3d8581c7c6b8b1a38a', 'ad4eababfe125110299e5a24be84472e', '5bc4b606f4c0f8cd2e6787ae049bf5bb', '2f553cba839ca4dab201d3f8154bae2a', 'cf236bf5b41d26967b1ce04ebbdb4041', 'f2f787868a3064407d79173ac5fc0864', '739812e2ae1327a94e441719b885bd19', '865078d080e594d1fb5c6985e4100f38', '/c ipconfig /all > ""%Temp%\\temp\\res.ip', '5:00pm 75 min Crimeware and financial predictions for 2023 Marc Rivero Dan Demeter Dmitry Galov Reports Not just an infostealer: Gopuram backdoor deployed through 3CX supply chain attack A DLL named guard64.dll', '/ c ipconfig / all > ""%Temp%\\temp\\res.ip', 'C:\\Windows\\Temp\\temp\\maui.exe', '/c netstat -naop tcp > ""%Temp%\\temp\\netstat.res', '/c tasklist > ""%Temp%\\temp\\task.list', '/ c tasklist > ""%Temp%\\temp\\task.list', 'C:\\Windows\\Temp\\temp\\mvhost.exe', '/c netsh interface show interface > ""%Temp%\\temp\\netsh.res', 'C:\\Windows\\system32\\cmd.exe', 'C:\\Windows\\Temp\\temp\\bin\\Maui.exe', '/ c netstat - naop tcp > ""%Temp%\\temp\\netstat.res', '/ c netsh interface show interface > ""%Temp%\\temp\\netsh.res', 'C:\\Windows\\Temp\\temp\\bin\\Maui.evd', 'C:\\Windows\\Temp\\temp\\bin\\Maui.key']"
"Seen the photo of the universe taken by the James Webb Telescope? Apparently, it’s being used to spread #malware. And anti-virus software can’t detect the malicious code. https://t.co/WDFrR8X1bJ via @engadget
#JamesWebbTelescope #tech #CyberSecurity #cyber https://t.co/WDFrR8X1bJ","[['jameswebbtelescope', 'cybersecurity', 'malware', 'universe', 'webb', 'james', 'code', 'software', 'telescope', 'photo']]","[""['engadget', 'organization'], ['nasa', 'org']""]",none
"🔴Newsflash
Some Users’ Private Keys Remain At Risk After Exploit: BitKeep CEO

#BitKeep CEO Kevin Como warned that users’ private keys are still at risk after the incident, urging users who had downloaded the Android APK 7.2.9. to transfer their digital assets to a new #wallet. https://t.co/jBhBW7zXaa","[['bitkeep', 'users', 'apk', 'keys', 'ceo', 'version', 'hacker', 'crypto', 'hack', 'wallets']]","[""['bitkeep', 'organization'], ['apk', 'org']""]",none
